what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326521930581
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1326521930581
java.specification.name,sysinfo,,,"Java Platform API Specification",1326521930581
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326521930581
java.specification.version,sysinfo,,,"1.6",1326521930581
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326521930581
java.version,sysinfo,,,"1.6.0_24",1326521930581
java.vm.info,sysinfo,,,"mixed mode",1326521930581
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1326521930581
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326521930581
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326521930581
java.vm.specification.version,sysinfo,,,"1.0",1326521930581
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326521930581
java.vm.version,sysinfo,,,"19.1-b02",1326521930581
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1326521931640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521932185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521934643
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1326521937533
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1326521937539
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1326521942057
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1326521943513
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1326521943704
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1326521944109
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1326521944698
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1326521946059
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1326521954754
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1326521954836
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1326521954838
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1326521954842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521961345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521961497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521974344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521974460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521994089
